# SYNTHETIC DATA - generated by part3/contracts/make_fixtures.py
person_id,date,stress_score,contributing_factors
emp_001,2026-08-24,43.0,
emp_001,2026-08-25,52.5,low_recovery
emp_001,2026-08-26,45.2,
emp_001,2026-08-27,45.3,low_recovery
emp_001,2026-08-28,51.8,low_recovery
emp_001,2026-08-29,36.6,
emp_001,2026-08-30,28.1,high_hrv
emp_001,2026-08-31,38.3,
emp_001,2026-09-01,45.6,
emp_001,2026-09-02,43.0,
emp_001,2026-09-03,51.4,
emp_001,2026-09-04,53.0,
emp_001,2026-09-05,49.6,low_recovery
emp_001,2026-09-06,34.3,high_hrv
emp_001,2026-09-07,42.2,
emp_001,2026-09-08,33.4,high_hrv
emp_001,2026-09-09,51.6,
emp_001,2026-09-10,58.6,low_recovery
emp_001,2026-09-11,46.2,
emp_001,2026-09-12,34.0,high_hrv
emp_001,2026-09-13,31.8,high_hrv
emp_001,2026-09-14,34.1,high_hrv
emp_001,2026-09-15,46.4,
emp_001,2026-09-16,38.9,
emp_001,2026-09-17,57.0,
emp_001,2026-09-18,42.7,
emp_001,2026-09-19,46.7,low_recovery
emp_001,2026-09-20,33.1,high_hrv
emp_002,2026-08-24,29.0,high_hrv
emp_002,2026-08-25,25.6,high_hrv
emp_002,2026-08-26,30.9,low_recovery|high_hrv
emp_002,2026-08-27,41.1,low_recovery
emp_002,2026-08-28,34.9,high_hrv
emp_002,2026-08-29,24.5,high_hrv
emp_002,2026-08-30,28.7,high_hrv
emp_002,2026-08-31,38.9,
emp_002,2026-09-01,36.1,
emp_002,2026-09-02,41.2,low_recovery
emp_002,2026-09-03,31.9,low_recovery|high_hrv
emp_002,2026-09-04,37.9,
emp_002,2026-09-05,27.7,low_recovery|high_hrv
emp_002,2026-09-06,22.9,high_hrv
emp_002,2026-09-07,36.7,
emp_002,2026-09-08,29.5,high_hrv
emp_002,2026-09-09,39.7,low_recovery
emp_002,2026-09-10,29.7,high_hrv
emp_002,2026-09-11,35.0,
emp_002,2026-09-12,25.5,high_hrv
emp_002,2026-09-13,18.7,high_hrv
emp_002,2026-09-14,33.1,high_hrv
emp_002,2026-09-15,19.9,high_hrv
emp_002,2026-09-16,27.9,high_hrv
emp_002,2026-09-17,28.3,low_recovery|high_hrv
emp_002,2026-09-18,29.7,high_hrv
emp_002,2026-09-19,21.3,high_hrv
emp_002,2026-09-20,23.2,high_hrv
emp_003,2026-08-24,38.6,
emp_003,2026-08-25,42.6,
emp_003,2026-08-26,40.3,
emp_003,2026-08-27,55.4,low_recovery
emp_003,2026-08-28,42.0,
emp_003,2026-08-29,30.5,high_hrv
emp_003,2026-08-30,42.6,
emp_003,2026-08-31,37.8,
emp_003,2026-09-01,37.9,
emp_003,2026-09-02,42.3,
emp_003,2026-09-03,43.1,low_recovery
emp_003,2026-09-04,42.7,
emp_003,2026-09-05,36.7,low_recovery
emp_003,2026-09-06,34.8,high_hrv
emp_003,2026-09-07,46.3,
emp_003,2026-09-08,38.5,
emp_003,2026-09-09,54.5,low_recovery
emp_003,2026-09-10,47.8,
emp_003,2026-09-11,31.5,high_hrv
emp_003,2026-09-12,44.8,
emp_003,2026-09-13,36.6,
emp_003,2026-09-14,36.0,
emp_003,2026-09-15,35.3,
emp_003,2026-09-16,37.6,
emp_003,2026-09-17,40.8,
emp_003,2026-09-18,43.9,
emp_003,2026-09-19,32.7,low_recovery|high_hrv
emp_003,2026-09-20,38.4,
emp_004,2026-08-24,43.4,
emp_004,2026-08-25,40.6,
emp_004,2026-08-26,37.9,
emp_004,2026-08-27,37.2,low_recovery
emp_004,2026-08-28,41.3,
emp_004,2026-08-29,36.7,low_recovery
emp_004,2026-08-30,42.6,
emp_004,2026-08-31,54.1,
emp_004,2026-09-01,50.6,
emp_004,2026-09-02,50.3,
emp_004,2026-09-03,44.6,low_recovery
emp_004,2026-09-04,37.6,
emp_004,2026-09-05,39.1,
emp_004,2026-09-06,37.3,
emp_004,2026-09-07,48.9,
emp_004,2026-09-08,47.2,
emp_004,2026-09-09,38.7,
emp_004,2026-09-10,41.9,low_recovery
emp_004,2026-09-11,45.7,
emp_004,2026-09-12,31.1,high_hrv
emp_004,2026-09-13,40.1,
emp_004,2026-09-14,50.9,
emp_004,2026-09-15,33.2,high_hrv
emp_004,2026-09-16,50.5,
emp_004,2026-09-17,38.6,low_recovery
emp_004,2026-09-18,38.5,
emp_004,2026-09-19,45.2,
emp_004,2026-09-20,46.5,
emp_005,2026-08-24,36.0,
emp_005,2026-08-25,46.4,
emp_005,2026-08-26,37.7,
emp_005,2026-08-27,42.8,
emp_005,2026-08-28,42.6,
emp_005,2026-08-29,30.1,low_recovery|high_hrv
emp_005,2026-08-30,35.6,
emp_005,2026-08-31,41.0,
emp_005,2026-09-01,38.4,
emp_005,2026-09-02,37.3,
emp_005,2026-09-03,44.9,low_recovery
emp_005,2026-09-04,45.1,low_recovery
emp_005,2026-09-05,30.5,high_hrv
emp_005,2026-09-06,42.8,
emp_005,2026-09-07,32.9,high_hrv
emp_005,2026-09-08,34.1,high_hrv
emp_005,2026-09-09,39.3,low_recovery
emp_005,2026-09-10,41.2,
emp_005,2026-09-11,39.1,
emp_005,2026-09-12,40.4,
emp_005,2026-09-13,33.0,high_hrv
emp_005,2026-09-14,51.3,
emp_005,2026-09-15,42.1,low_recovery
emp_005,2026-09-16,37.2,
emp_005,2026-09-17,48.6,
emp_005,2026-09-18,40.5,
emp_005,2026-09-19,32.5,low_recovery|high_hrv
emp_005,2026-09-20,28.7,high_hrv
emp_006,2026-08-24,41.4,
emp_006,2026-08-25,45.6,
emp_006,2026-08-26,49.1,
emp_006,2026-08-27,55.3,
emp_006,2026-08-28,53.5,low_recovery
emp_006,2026-08-29,36.1,
emp_006,2026-08-30,27.8,high_hrv
emp_006,2026-08-31,45.2,
emp_006,2026-09-01,53.3,
emp_006,2026-09-02,49.1,
emp_006,2026-09-03,47.7,
emp_006,2026-09-04,38.0,
emp_006,2026-09-05,35.9,
emp_006,2026-09-06,32.7,high_hrv
emp_006,2026-09-07,53.8,
emp_006,2026-09-08,33.5,high_hrv
emp_006,2026-09-09,37.0,
emp_006,2026-09-10,53.8,
emp_006,2026-09-11,45.1,
emp_006,2026-09-12,42.1,
emp_006,2026-09-13,36.8,
emp_006,2026-09-14,41.2,
emp_006,2026-09-15,44.5,
emp_006,2026-09-16,43.2,
emp_006,2026-09-17,44.2,
emp_006,2026-09-18,32.5,high_hrv
emp_006,2026-09-19,46.6,
emp_006,2026-09-20,34.3,high_hrv
emp_007,2026-08-24,41.9,
emp_007,2026-08-25,47.7,
emp_007,2026-08-26,41.5,
emp_007,2026-08-27,43.0,
emp_007,2026-08-28,38.9,
emp_007,2026-08-29,27.1,high_hrv
emp_007,2026-08-30,35.1,
emp_007,2026-08-31,39.4,
emp_007,2026-09-01,40.8,
emp_007,2026-09-02,47.5,
emp_007,2026-09-03,47.1,
emp_007,2026-09-04,48.5,
emp_007,2026-09-05,31.7,high_hrv
emp_007,2026-09-06,38.0,
